avg_received_packets,avg_steps_for_arrival,success_rate,avg_hop
16.660984393757502,4.497478991596639,1.0,1.4991596638655462
16.259255702280914,4.532773109243697,1.0,1.5109243697478991
16.9943337334934,4.467226890756303,1.0,1.4890756302521009
15.69968787515006,4.583193277310924,1.0,1.5277310924369747
17.61402160864346,4.411764705882353,1.0,1.4705882352941178
16.260408163265307,4.532773109243697,1.0,1.5109243697478991
15.72859543817527,4.583193277310924,1.0,1.5277310924369747
17.466122448979593,4.421848739495799,1.0,1.4739495798319329
16.19932773109244,4.53781512605042,1.0,1.5126050420168067
16.66386554621849,4.497478991596639,1.0,1.4991596638655462
16.540264105642258,4.507563025210084,1.0,1.5025210084033613
16.705450180072027,4.492436974789916,1.0,1.4974789915966387
16.5449699879952,4.507563025210084,1.0,1.5025210084033613
16.149051620648258,4.542857142857143,1.0,1.5142857142857142
16.094261704681873,4.547899159663865,1.0,1.5159663865546218
17.100552220888357,4.457142857142857,1.0,1.4857142857142858
15.16201680672269,4.633613445378152,1.0,1.5445378151260505
16.31577430972389,4.527731092436975,1.0,1.5092436974789916
16.428379351740695,4.517647058823529,1.0,1.5058823529411764
17.860600240096037,4.38655462184874,1.0,1.4621848739495797
15.932677070828332,4.563025210084033,1.0,1.5210084033613445
15.604273709483794,4.593277310924369,1.0,1.5310924369747898
17.15188475390156,4.452100840336135,1.0,1.4840336134453782
16.50266506602641,4.512605042016807,1.0,1.504201680672269
17.005858343337334,4.467226890756303,1.0,1.4890756302521009
16.772581032412965,4.487394957983193,1.0,1.495798319327731
15.595486194477791,4.593277310924369,1.0,1.5310924369747898
15.320144057623049,4.618487394957983,1.0,1.5394957983193278
15.761344537815127,4.578151260504201,1.0,1.5260504201680671
17.433181272509003,4.426890756302521,1.0,1.4756302521008404
18.0002881152461,4.376470588235295,1.0,1.4588235294117646
16.372148859543817,4.522689075630252,1.0,1.507563025210084
16.049507803121248,4.552941176470588,1.0,1.5176470588235293
15.827851140456183,4.573109243697479,1.0,1.5243697478991596
16.769267707082832,4.487394957983193,1.0,1.495798319327731
16.43683073229292,4.517647058823529,1.0,1.5058823529411764
17.76,4.396638655462185,1.0,1.4655462184873949
17.332533013205282,4.436974789915967,1.0,1.4789915966386555
16.217430972388957,4.53781512605042,1.0,1.5126050420168067
16.475198079231692,4.512605042016807,1.0,1.504201680672269
18.088499399759904,4.366386554621848,1.0,1.4554621848739495
16.447106842737096,4.517647058823529,1.0,1.5058823529411764
16.654117647058822,4.497478991596639,1.0,1.4991596638655462
16.36893157262905,4.522689075630252,1.0,1.507563025210084
16.88528211284514,4.477310924369748,1.0,1.492436974789916
16.66204081632653,4.502521008403361,1.0,1.5008403361344538
16.003169267707083,4.557983193277311,1.0,1.519327731092437
