avg_received_packets,avg_steps_for_arrival,success_rate,avg_hop
3.493684210526316,7.310526315789474,1.0,2.4368421052631577
3.2586842105263156,8.147368421052631,1.0,2.7157894736842105
3.6792105263157895,7.105263157894737,1.0,2.3684210526315788
3.873157894736842,6.773684210526316,1.0,2.2578947368421054
3.872894736842105,6.457894736842105,1.0,2.1526315789473682
2.9242105263157896,8.210526315789474,1.0,2.736842105263158
3.6760526315789472,6.931578947368421,1.0,2.3105263157894735
3.8607894736842105,6.678947368421053,1.0,2.2263157894736842
4.052894736842105,6.947368421052632,1.0,2.3157894736842106
3.4057894736842105,7.231578947368421,1.0,2.4105263157894736
3.431842105263158,7.231578947368421,1.0,2.4105263157894736
4.261052631578948,6.268421052631579,1.0,2.0894736842105264
4.07921052631579,6.568421052631579,1.0,2.1894736842105265
3.0928947368421054,7.989473684210527,1.0,2.663157894736842
4.051315789473684,6.394736842105263,1.0,2.1315789473684212
4.442631578947369,6.3,1.0,2.1
3.863947368421053,6.58421052631579,1.0,2.194736842105263
3.39,7.2,1.0,2.4
3.0457894736842106,7.894736842105263,1.0,2.6315789473684212
3.2605263157894737,8.289473684210526,1.0,2.763157894736842
3.715263157894737,7.278947368421052,1.0,2.4263157894736844
4.255,6.457894736842105,1.0,2.1526315789473682
4.541052631578947,5.921052631578948,1.0,1.9736842105263157
3.9313157894736843,6.663157894736842,1.0,2.221052631578947
3.981842105263158,6.88421052631579,1.0,2.294736842105263
4.116842105263158,6.58421052631579,1.0,2.194736842105263
2.9355263157894735,8.589473684210526,1.0,2.863157894736842
3.7176315789473686,6.963157894736842,1.0,2.3210526315789473
4.361578947368421,6.7894736842105265,1.0,2.263157894736842
3.076052631578947,7.847368421052631,1.0,2.6157894736842104
3.9886842105263156,6.88421052631579,1.0,2.294736842105263
3.05,8.478947368421053,1.0,2.8263157894736843
4.20078947368421,7.310526315789474,1.0,2.4368421052631577
3.973684210526316,6.410526315789474,1.0,2.136842105263158
4.327105263157895,6.315789473684211,1.0,2.1052631578947367
4.167631578947368,6.8052631578947365,1.0,2.268421052631579
4.122105263157895,6.442105263157894,1.0,2.1473684210526316
4.325,6.88421052631579,1.0,2.294736842105263
4.251052631578947,6.394736842105263,1.0,2.1315789473684212
4.221842105263158,6.3,1.0,2.1
3.4523684210526318,7.515789473684211,1.0,2.5052631578947366
3.2107894736842106,7.752631578947368,1.0,2.5842105263157893
4.144736842105263,6.505263157894737,1.0,2.168421052631579
